rk,player,nation,pos,squad,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_plus_a,performance_g_minus_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_plus_xag,progression_prgc,progression_prgp,progression_prgr,gls_per90,astgls_per90,g_plus_agls_per90,g_minus_pkgls_per90,g_plus_a_minus_pkgls_per90,xggls_per90,xaggls_per90,xg_plus_xaggls_per90,npxggls_per90,npxg_plus_xaggls_per90,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerialduels_won,aerialduels_lost,aerialduels_won_pct,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_per_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playingtime_mp,playingtime_min,playingtime_mn_per_mp,playingtime_min_pct,playingtime_90s,starts_starts,starts_mn_per_start,starts_compl,subs_subs,subs_mn_per_sub,subs_unsub,teamsuccess_ppm,teamsuccess_ong,teamsuccess_onga,teamsuccess_plus_minus,teamsuccess_plus_minus90,teamsuccess_on_minus_off,teamsuccessxg_onxg,teamsuccessxg_onxga,teamsuccessxg_xg_plus_minus,teamsuccessxg_xg_plus_minus90,teamsuccessxg_on_minus_off,unnamed:_0,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg_plus_minus,expected_per_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa_per_90,sweeper_avgdist,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl_plus_int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,expected_ast,expected_xa,expected_a_minus_xag,expected_kp,expected_1_per_3,expected_ppa,expected_crspa,expected_prgp,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_per_90,standard_sot_per_90,standard_g_per_sh,standard_g_per_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg_per_sh,expected_g_minus_xg,expected_np:g_minus_xg,main_pos
,Aaron Anselmino,,,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN
113.0,Aaron Cresswell,eng ENG,DF,West Ham,34.0,1989.0,18.0,10.0,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,9.2,610.0,511.0,98.0,33.0,1.0,5.0,36.0,52.0,13.0,11.0,2.0,0.0,504.0,1.0,10.0,0.0,4.0,2.0,0.0,36.0,8.0,7.0,0.0,0.0,0.0,36.0,7.0,7.0,50.0,15.0,1.64,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,45.0,270.0,328.0,94.0,2.0,687.0,2.0,1.0,50.0,1.0,50.0,291.0,1102.0,526.0,6.0,8.0,0.0,4.0,0.0,437.0,4.0,18.0,824.0,46.0,24.1,9.2,10.0,76.0,4.0,8.0,8.0,13.0,1.78,8.0,8.0,0.0,0.0,0.55,9.7,12.7,-3.0,-0.32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.0,5.0,5.0,1.0,9.0,11.0,81.8,2.0,9.0,4.0,5.0,8.0,19.0,37.0,0.0,,,,,,,,,,,,,,,,504.0,610.0,82.6,9299.0,3625.0,229.0,249.0,92.0,212.0,241.0,88.0,58.0,107.0,54.2,0.0,1.9,-1.3,9.0,52.0,5.0,2.0,36.0,0.0,5.0,0.0,0.0,0.55,0.0,0.0,,23.8,2.0,0.0,0.0,0.05,-0.2,-0.2,DF
,Aaron Hickey,,,Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN
,Aaron Ramsdale,,,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAN
426.0,Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1223.0,918.0,298.0,108.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,7.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,100.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,946.0,1286.0,32.0,0.0,0.0,1314.0,0.0,0.0,,0.0,,786.0,4017.0,2349.0,0.0,0.0,0.0,3.0,0.0,702.0,0.0,30.0,2700.0,90.0,78.9,30.0,30.0,90.0,30.0,0.0,,0.0,0.37,21.0,66.0,-45.0,-1.5,0.38,25.0,64.9,-39.8,-1.33,0.21,33.0,66.0,5.0,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,190.0,77.4,55.9,457.0,25.0,5.5,20.0,0.67,11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,10.0,3.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,774.0,1223.0,63.3,21949.0,16992.0,209.0,210.0,99.5,302.0,313.0,96.5,257.0,686.0,37.5,0.0,0.1,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,GK
543.0,Aaron Wan-Bissaka,eng ENG,DF,West Ham,26.0,1997.0,36.0,35.0,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.06,0.14,0.2,0.06,0.2,0.03,0.1,0.14,0.03,0.14,35.0,1815.0,1568.0,243.0,11.0,5.0,1.0,76.0,232.0,0.0,0.0,0.0,0.0,1472.0,4.0,62.0,0.0,25.0,27.0,5.0,76.0,66.0,49.0,0.0,0.0,1.0,174.0,22.0,33.0,40.0,93.0,2.65,75.0,4.0,7.0,3.0,2.0,2.0,10.0,0.29,9.0,0.0,0.0,1.0,0.0,0.0,2256.0,147.0,682.0,969.0,637.0,48.0,2256.0,122.0,64.0,52.5,43.0,35.2,1092.0,6700.0,3661.0,110.0,65.0,15.0,35.0,22.0,1322.0,167.0,36.0,3154.0,88.0,92.2,35.0,35.0,89.0,33.0,1.0,29.0,1.0,1.17,44.0,59.0,-15.0,-0.43,-0.09,42.3,56.2,-13.9,-0.4,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,49.0,33.0,32.0,5.0,23.0,32.0,71.9,9.0,37.0,11.0,26.0,66.0,136.0,125.0,0.0,,,,,,,,,,,,,,,,1472.0,1815.0,81.1,20696.0,7523.0,953.0,1056.0,90.2,449.0,550.0,81.6,48.0,105.0,45.7,5.0,2.8,1.5,33.0,94.0,35.0,11.0,149.0,2.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,15.1,0.0,0.0,0.0,0.07,0.8,0.8,DF
147.0,Abdoulaye Doucouré,ml MLI,MF,Everton,31.0,1993.0,33.0,31.0,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.6,42.0,82.0,96.0,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,28.5,903.0,884.0,14.0,5.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,725.0,5.0,27.0,1.0,49.0,5.0,10.0,23.0,10.0,28.0,0.0,0.0,0.0,150.0,30.0,44.0,40.5,58.0,2.04,52.0,0.0,3.0,2.0,0.0,1.0,3.0,0.11,2.0,0.0,0.0,0.0,0.0,1.0,1161.0,32.0,225.0,538.0,413.0,65.0,1161.0,45.0,24.0,53.3,21.0,46.7,604.0,2952.0,1396.0,42.0,26.0,8.0,38.0,38.0,750.0,96.0,33.0,2564.0,78.0,75.0,28.5,31.0,82.0,16.0,2.0,12.0,1.0,1.3,28.0,33.0,-5.0,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,28.0,21.0,20.0,7.0,14.0,43.0,32.6,29.0,31.0,6.0,25.0,10.0,58.0,20.0,1.0,,,,,,,,,,,,,,,,725.0,903.0,80.3,10909.0,2254.0,382.0,446.0,85.7,263.0,316.0,83.2,44.0,60.0,73.3,2.0,1.4,-0.4,28.0,44.0,15.0,0.0,82.0,3.0,31.0,9.0,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.0,0.0,0.13,-1.1,-1.1,MF
284.0,Abdukodir Khusanov,uz UZB,DF,Manchester City,20.0,2004.0,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,5.6,395.0,385.0,10.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,360.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,27.0,6.0,4.0,60.0,5.0,0.89,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,45.0,205.0,211.0,31.0,1.0,445.0,2.0,0.0,0.0,2.0,100.0,274.0,1155.0,435.0,1.0,1.0,0.0,2.0,1.0,332.0,2.0,6.0,503.0,84.0,14.7,5.6,6.0,84.0,5.0,0.0,,5.0,1.67,8.0,6.0,2.0,0.36,-0.44,9.0,7.0,2.1,0.37,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,4.0,1.0,3.0,8.0,29.0,1.0,,,,,,,,,,,,,,,,360.0,395.0,91.1,6126.0,1976.0,160.0,169.0,94.7,191.0,197.0,97.0,6.0,23.0,26.1,0.0,0.1,-0.1,2.0,23.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.18,0.0,0.0,,23.9,0.0,0.0,0.0,0.02,0.0,0.0,DF
177.0,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20.0,2004.0,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,6.4,197.0,186.0,11.0,1.0,2.0,2.0,30.0,9.0,1.0,0.0,0.0,0.0,123.0,0.0,18.0,0.0,11.0,20.0,2.0,30.0,4.0,15.0,0.0,0.0,0.0,38.0,14.0,13.0,51.9,17.0,2.64,10.0,0.0,2.0,1.0,4.0,0.0,3.0,0.47,2.0,0.0,0.0,1.0,0.0,0.0,326.0,19.0,73.0,114.0,157.0,26.0,326.0,69.0,29.0,42.0,28.0,40.6,217.0,1869.0,1055.0,42.0,24.0,15.0,18.0,12.0,216.0,60.0,11.0,579.0,53.0,16.9,6.4,6.0,86.0,5.0,5.0,12.0,0.0,0.91,7.0,14.0,-7.0,-1.09,0.18,6.8,10.7,-3.9,-0.6,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,13.0,2.0,6.0,11.0,19.0,57.9,8.0,7.0,0.0,7.0,4.0,25.0,12.0,0.0,,,,,,,,,,,,,,,,123.0,197.0,62.4,2150.0,601.0,59.0,81.0,72.8,45.0,59.0,76.3,16.0,33.0,48.5,2.0,1.4,0.4,6.0,7.0,7.0,2.0,17.0,0.0,13.0,5.0,38.5,2.02,0.78,0.0,0.0,31.2,0.0,0.0,0.0,0.03,-0.4,-0.4,FW
34.0,Adam Armstrong,eng ENG,"FW,MF",Southampton,27.0,1997.0,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,13.9,288.0,268.0,18.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,231.0,2.0,12.0,0.0,12.0,5.0,9.0,14.0,3.0,3.0,0.0,0.0,0.0,23.0,5.0,9.0,35.7,19.0,1.37,12.0,1.0,2.0,4.0,0.0,0.0,4.0,0.29,1.0,0.0,0.0,3.0,0.0,0.0,377.0,11.0,44.0,143.0,192.0,49.0,376.0,14.0,6.0,42.9,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,286.0,79.0,20.0,1248.0,62.0,36.5,13.9,15.0,75.0,4.0,5.0,25.0,4.0,0.3,7.0,35.0,-28.0,-2.02,-0.69,12.8,32.4,-19.6,-1.41,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,2.0,7.0,3.0,3.0,14.0,21.4,11.0,6.0,1.0,5.0,3.0,15.0,8.0,0.0,,,,,,,,,,,,,,,,231.0,288.0,80.2,3320.0,446.0,138.0,158.0,87.3,81.0,95.0,85.3,6.0,13.0,46.2,2.0,0.6,0.8,9.0,10.0,8.0,2.0,21.0,2.0,25.0,7.0,28.0,1.8,0.5,0.08,0.29,16.6,0.0,0.0,1.0,0.09,-1.3,-0.3,FW
